Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
92,5437.65,1546.4,1342.35,228.5,1022.15,141.95,1107.35,556.95,1318.45,518.3,222.75,7846.15,89.2,170.5,462.8,23.85,171.95,2842.05,17315.6,415.25
93,5443.3,1554.35,1376.9,229.2,1029.25,147.6,1103.85,562.65,1337.85,525.35,222.8,7852.5,90.95,170.2,462.1,25.2,174.8,2853.6,17571.65,418.6
94,5449.85,1556,1379.1,230.6,1043.3,145.85,1106.55,571.05,1348.75,520.9,224.05,7841.05,88.7,166.1,466.25,23.15,174.7,2873.55,17922.85,400.15
95,5447.2,1559.7,1388.8,231.05,1057.95,145.65,1102.5,571.95,1343.3,520.25,216.3,7664.4,89.2,167.05,463.4,23.05,176.4,2853.8,17550.7,400.8
96,5515.25,1565.55,1404.65,235.5,1070.3,147.2,1125.45,572.7,1368.3,523.45,224.75,7693.25,93.9,165.35,468.55,23.45,179.2,2912.2,17940.15,418.2
97,5578.75,1603.35,1378.75,242.05,1096.7,150.65,1160.95,572.8,1356.95,528.95,229.35,7717.3,94.45,169.85,476.2,23.6,187.35,2949.1,18034.9,420.7
98,5593.85,1612.7,1374.75,243.45,1090.1,149.8,1136.6,578.3,1344.3,535.55,227.7,7654.7,89.4,170,472.05,23.85,184.15,2948.85,18312.2,422.5
99,5608.25,1575.85,1378.85,239.2,1097.6,150,1137.8,581.6,1337.75,530.8,229.1,7703.45,89.05,169.4,466.8,23.4,179.05,2974.15,18462.5,425.9
100,5626.7,1563.45,1352.6,240.55,1130.45,145.45,1130.95,582,1314.9,519.2,222.6,7620.4,89.95,171,465.9,23.05,172.5,2960.05,18238.65,420.75
101,5635.75,1534.1,1322,235.1,1149.9,146.75,1127.75,592.45,1304.15,505.35,219.05,7650.55,88.2,163.9,455.95,22.7,172.85,2938.05,18223,401.95
102,5607.7,1544.9,1348.4,236.25,1163.95,144.1,1125.6,588.95,1289.55,520.15,207.1,7711.8,89.65,165.3,455.5,25.15,177.85,2924.65,18097.3,401.2
103,5734.05,1574.45,1326.55,235.15,1148.3,140.9,1107.95,592.75,1298.75,512.8,204.9,7705.6,88.9,163.15,453.15,25.2,172.45,2910.45,17883.5,403.4
